#{"t_start": 1620582777.488878, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,51,204.092717
-4.0,72,204.233156
-4.0,65,204.359702
-3.0,87,204.733259
-7.0,80,204.891659
-4.0,65,205.017981
0.0,44,205.300511
-8.0,51,205.405334
1.0,65,205.536343
-4.0,65,205.674247
1.0,65,205.999078
-7.0,88,206.170597
1.0,101,206.365331
0.0,44,206.448276
0.0,80,206.797346
-7.0,44,206.880702
-4.0,87,207.052018
-3.0,72,207.384703
0.0,65,207.510396
1.0,61,207.630535
-11.0,144,208.115578
-3.0,51,208.221913
3.0,87,208.395465
0.0,65,208.53537
1.0,44,208.825647
0.0,87,209.005675
-11.0,87,209.181368
2.0,108,209.591335
2.0,80,209.757413
-3.0,60,209.874672
-4.0,58,209.988152
0.0,87,210.352758
-5.0,259,211.062649
1.0,101,211.252612
1.0,108,211.64612
0.0,94,211.837388
-4.0,58,211.947411
-4.0,65,212.073961
0.0,44,212.358764
1.0,65,212.499657
-4.0,65,212.631857
-2.0,72,212.791715
0.0,94,213.182725
0.0,44,213.271751
0.0,72,213.419347
0.0,108,213.845336
1.0,87,214.017401
2.0,51,214.124345
2.0,94,214.522868
1.0,65,214.649415
0.0,72,214.800997
-4.0,65,214.923216
0.0,72,215.253833
-3.0,87,215.428532
-1.0,94,215.61711
-7.0,65,215.948775
2.0,51,216.04999
0.0,51,216.153074
0.0,58,216.270368
1.0,51,216.375274
-4.0,65,216.703609
1.0,87,216.889418
-7.0,72,217.033452
-12.0,65,217.358674
-7.0,161,217.666974
0.0,72,217.813711
-1.0,58,218.130377
-3.0,58,218.247865
0.0,72,218.397866
2.0,94,218.789773
-4.0,65,218.926795
0.0,72,219.070016
0.0,80,219.231428
0.0,59,219.547526
-3.0,80,219.699249
0.0,80,219.867153
-4.0,65,220.188246
-3.0,80,220.354729
-3.0,65,220.486924
-4.0,80,220.643386
-7.0,140,221.133798
-2.0,80,221.294478
1.0,137,221.76351
1.0,58,221.88669
1.0,108,222.097354
2.0,51,222.39216
-4.0,87,222.568926
1.0,101,222.756358
0.0,44,223.039428
-4.0,65,223.174122
-4.0,80,223.339326
1.0,94,223.52732
1.0,58,223.835449
3.0,87,224.013844
1.0,80,224.179187
-8.0,65,224.505472
1.0,137,224.785056
-8.0,72,224.938802
-4.0,51,225.233322
-7.0,65,225.360675
-12.0,94,225.556928
1.0,44,225.652296
-4.0,58,225.979506
1.0,101,226.186363
0.0,58,226.304033
0.0,72,226.639161
-4.0,65,226.768107
0.0,87,226.943042
0.0,44,227.029978
2.0,58,227.336419
1.0,51,227.436903
0.0,44,227.526467
0.0,87,227.700646
0.0,72,228.040622
0.0,44,228.128447
-4.0,65,228.263616
0.0,44,228.35336
1.0,72,228.500741
1.0,108,228.902515
1.0,51,229.01243
-7.0,94,229.203511
0.0,72,229.546057
-4.0,58,229.666445
1.0,80,229.829586
-3.0,51,229.929521
2.0,101,230.339956
0.0,72,230.486724
-3.0,91,230.669625
0.0,44,230.954227
-2.0,72,231.121534
-3.0,72,231.266922
0.0,44,231.362389
-6.0,87,231.748667
0.0,72,231.893682
0.0,87,232.079658
1.0,65,232.405163
-8.0,144,232.70051
0.0,58,232.818362
2.0,65,233.14636
-4.0,58,233.26483
-4.0,72,233.409888
-7.0,72,233.555372
1.0,101,233.937281
2.0,65,234.081466
2.0,65,234.218604
-4.0,58,234.530387
-4.0,65,234.659636
0.0,59,234.781429
1.0,101,234.983613
-3.0,94,235.371906
2.0,65,235.507032
-4.0,80,235.670066
1.0,101,236.079069
-2.0,72,236.227841
1.0,72,236.380724
-3.0,96,236.777875
1.0,108,236.995937
-1.0,72,237.152279
-4.0,58,237.456228
0.0,72,237.601396
1.0,101,237.799125
-16.0,78,238.149345
-4.0,80,238.315307
0.0,80,238.480101
1.0,65,238.613355
0.0,44,238.891289
